t,ts,v
"2023-10-17T18:24:41",1697559881,11.431684
"2023-10-17T20:24:41",1697567081,11.403679
"2023-10-17T22:27:48",1697574468,11.425360
"2023-10-18T00:28:14",1697581694,11.403681
"2023-10-18T02:29:08",1697588948,11.403681
"2023-10-18T04:29:59",1697596199,11.360320
"2023-10-18T06:31:01",1697603461,11.373328
"2023-10-18T08:32:47",1697610767,11.442705
"2023-10-18T10:32:51",1697617971,11.802592
"2023-10-18T12:38:11",1697625491,12.045407
"2023-10-18T14:42:30",1697632950,12.158144
"2023-10-18T16:43:04",1697640184,12.123456
"2023-10-18T18:44:58",1697647498,11.802591
"2023-10-18T20:46:22",1697654782,11.754896
"2023-10-18T22:47:05",1697662025,11.702864
"2023-10-19T00:49:34",1697669374,11.711535
"2023-10-19T02:51:46",1697676706,11.724544
"2023-10-19T04:52:15",1697683935,11.750560
"2023-10-19T06:54:51",1697691291,11.711536
"2023-10-19T09:01:42",1697698902,11.733215
"2023-10-19T11:11:55",1697706715,12.006384
"2023-10-19T13:14:22",1697714062,11.989039
"2023-10-19T15:19:43",1697721583,12.197168
"2023-10-19T17:20:52",1697728852,12.041072
"2023-10-19T19:28:58",1697736538,12.023727
"2023-10-19T21:31:21",1697743881,11.937009
"2023-10-19T23:34:14",1697751254,11.950015
"2023-10-20T01:40:03",1697758803,11.906654
"2023-10-20T03:40:52",1697766052,11.902320
"2023-10-20T05:43:14",1697773394,11.854624
"2023-10-20T07:44:33",1697780673,11.902319
"2023-10-20T09:44:36",1697787876,11.850286
"2023-10-20T11:45:16",1697795116,12.028064
"2023-10-20T13:47:17",1697802437,12.071424
"2023-10-20T15:51:03",1697809863,12.006384
"2023-10-20T17:52:41",1697817161,12.006383
"2023-10-20T19:56:12",1697824572,11.910991
"2023-10-20T22:03:42",1697832222,11.880639
"2023-10-21T00:04:03",1697839443,11.915327
"2023-10-21T02:08:52",1697846932,11.880639
"2023-10-21T04:13:19",1697854399,11.832943
"2023-10-21T06:16:16",1697861776,11.871968
"2023-10-21T08:23:05",1697869385,11.845951
"2023-10-21T10:31:47",1697877107,12.028064
"2023-10-21T12:39:47",1697884787,12.279552
"2023-10-21T14:55:56",1697892956,12.639441
"2023-10-21T17:06:13",1697900773,12.270880
"2023-10-21T19:09:37",1697908177,12.067087
"2023-10-21T21:14:07",1697915647,12.067088
"2023-10-21T23:18:21",1697923101,12.080096
"2023-10-22T01:42:25",1697931745,12.088767
"2023-10-22T03:46:38",1697939198,12.075759
"2023-10-22T05:54:01",1697946841,12.032400
"2023-10-22T07:54:44",1697954084,12.049745
"2023-10-22T09:54:49",1697961289,12.032399
"2023-10-22T12:06:57",1697969217,12.370607
"2023-10-22T14:16:11",1697976971,13.042688
"2023-10-22T16:30:11",1697985011,12.452992
"2023-10-22T18:57:27",1697993847,12.058416
"2023-10-22T20:57:55",1698001075,12.002047
"2023-10-22T22:58:11",1698008291,11.954351
"2023-10-23T00:58:26",1698015506,11.958688
"2023-10-23T02:58:42",1698022722,11.919663
"2023-10-23T04:58:57",1698029937,11.915327
"2023-10-23T06:59:13",1698037153,11.897985
"2023-10-23T08:59:29",1698044369,11.937008
"2023-10-23T10:59:44",1698051584,12.214512
"2023-10-23T13:00:00",1698058800,12.270880
"2023-10-23T15:00:15",1698066015,12.535376
"2023-10-23T17:00:31",1698073231,12.513696
"2023-10-23T19:00:46",1698080446,12.262208
"2023-10-23T21:01:02",1698087662,12.188497
"2023-10-23T23:01:18",1698094878,12.153807
"2023-10-24T01:01:33",1698102093,12.093103
"2023-10-24T03:01:49",1698109309,12.119120
"2023-10-24T05:02:04",1698116524,12.106112
"2023-10-24T07:02:20",1698123740,12.062752
"2023-10-24T09:02:36",1698130956,12.093104
"2023-10-24T11:02:51",1698138171,12.075759
"2023-10-24T13:03:07",1698145387,12.366272
"2023-10-24T15:03:22",1698152602,12.422640
"2023-10-24T17:03:38",1698159818,12.435648
"2023-10-24T19:03:53",1698167033,12.396624
