t,ts,v
"2024-04-13T12:31:41",1713004301,14.031296
"2024-04-13T14:31:41",1713011501,14.790095
"2024-04-13T16:31:57",1713018717,13.979263
"2024-04-13T18:32:12",1713025932,13.380896
"2024-04-13T20:32:28",1713033148,13.081713
"2024-04-13T22:32:28",1713040348,12.721823
"2024-04-14T00:32:43",1713047563,12.652448
"2024-04-14T02:32:59",1713054779,12.721823
"2024-04-14T04:33:14",1713061994,12.791201
"2024-04-14T06:33:30",1713069210,12.691470
"2024-04-14T08:33:45",1713076425,12.730496
"2024-04-14T10:34:01",1713083641,13.983600
"2024-04-14T12:34:17",1713090857,14.681696
"2024-04-14T14:34:32",1713098072,14.070320
"2024-04-14T14:29:06",1713097746,14.078992
"2024-04-14T16:29:22",1713104962,13.454608
"2024-04-14T18:29:37",1713112177,14.725055
"2024-04-14T20:29:53",1713119393,13.012335
"2024-04-14T22:30:08",1713126608,13.007998
"2024-04-15T00:30:24",1713133824,12.912608
"2024-04-15T02:30:39",1713141039,12.886591
"2024-04-15T04:30:55",1713148255,12.869247
"2024-04-15T06:31:10",1713155470,12.808543
"2024-04-15T08:31:26",1713162686,13.198784
"2024-04-15T10:31:41",1713169901,13.246480
"2024-04-15T12:31:57",1713177117,14.304463
"2024-04-15T14:32:12",1713184332,13.276831
"2024-04-15T16:32:28",1713191548,14.052976
"2024-04-15T18:32:43",1713198763,13.268160
"2024-04-15T20:32:59",1713205979,13.047023
"2024-04-15T22:33:14",1713213194,12.999329
"2024-04-16T00:33:30",1713220410,13.016672
"2024-04-16T02:33:45",1713227625,12.825888
"2024-04-16T04:34:01",1713234841,12.890927
"2024-04-16T06:34:17",1713242057,12.873584
"2024-04-16T08:34:32",1713249272,13.112063
"2024-04-16T10:34:48",1713256488,13.493631
"2024-04-16T12:35:03",1713263703,13.992273
"2024-04-16T14:35:19",1713270919,14.026959
"2024-04-16T16:35:34",1713278134,13.125072
"2024-04-16T18:35:50",1713285350,13.905551
"2024-04-16T20:36:06",1713292566,13.129408
"2024-04-16T22:36:21",1713299781,12.895264
"2024-04-17T00:36:37",1713306997,12.912607
"2024-04-17T02:36:52",1713314212,12.899599
"2024-04-17T04:37:08",1713321428,12.726160
"2024-04-17T06:37:23",1713328643,12.691472
"2024-04-17T08:37:39",1713335859,13.506639
"2024-04-17T10:37:54",1713343074,14.417200
"2024-04-17T12:38:10",1713350290,13.649727
"2024-04-17T14:38:25",1713357505,14.018288
"2024-04-17T16:38:41",1713364721,14.022624
"2024-04-17T18:38:56",1713371936,14.230751
"2024-04-17T20:39:12",1713379152,13.190112
"2024-04-17T22:39:27",1713386367,12.929952
"2024-04-18T00:39:43",1713393583,12.951632
"2024-04-18T02:39:58",1713400798,12.799871
"2024-04-18T04:40:14",1713408014,12.713152
"2024-04-18T06:40:30",1713415230,12.674128
"2024-04-18T08:40:45",1713422445,12.960302
"2024-04-18T10:40:45",1713429645,14.035631
"2024-04-18T12:40:45",1713436845,13.957583
"2024-04-18T14:40:45",1713444045,14.118014
"2024-04-18T16:41:01",1713451261,13.576015
"2024-04-18T18:41:16",1713458476,13.419919
"2024-04-18T20:41:32",1713465692,13.025343
"2024-04-18T22:41:47",1713472907,12.964640
"2024-04-19T00:42:03",1713480123,12.895264
"2024-04-19T02:42:19",1713487339,12.830223
"2024-04-19T04:42:34",1713494554,12.739168
"2024-04-19T06:42:50",1713501770,12.747839
"2024-04-19T08:43:05",1713508985,12.834561
"2024-04-19T10:43:21",1713516201,13.857855
"2024-04-19T12:43:36",1713523416,14.013952
"2024-04-19T14:43:52",1713530632,13.979263
"2024-04-19T16:44:07",1713537847,13.649729
"2024-04-19T18:44:23",1713545063,14.052976
"2024-04-19T20:44:39",1713552279,13.016672
"2024-04-19T22:44:54",1713559494,12.986319
"2024-04-20T00:45:10",1713566710,12.903936
"2024-04-20T02:45:25",1713573925,12.886592
"2024-04-20T04:45:41",1713581141,12.808543
"2024-04-20T06:45:56",1713588356,12.786864
"2024-04-20T08:46:12",1713595572,13.276833
"2024-04-20T10:46:28",1713602788,14.655680
"2024-04-20T12:46:43",1713610003,14.057312
"2024-04-20T14:46:59",1713617219,13.541327
"2024-04-20T16:47:12",1713624432,14.013952
"2024-04-20T18:47:54",1713631674,12.734832
"2024-04-20T20:48:36",1713638916,12.981984
"2024-04-20T22:48:52",1713646132,12.908272
"2024-04-21T00:49:08",1713653348,12.890927
"2024-04-21T02:49:23",1713660563,12.817215
"2024-04-21T04:49:39",1713667779,12.713152
"2024-04-21T06:49:54",1713674994,12.474672
"2024-04-21T08:50:10",1713682210,14.625326
"2024-04-21T10:50:25",1713689425,13.974928
"2024-04-21T12:50:41",1713696641,14.542943
"2024-04-21T14:50:57",1713703857,13.957583
"2024-04-21T16:51:12",1713711072,14.087664
"2024-04-21T18:51:28",1713718288,13.428592
"2024-04-21T20:51:43",1713725503,13.047023
"2024-04-21T22:51:59",1713732719,12.635104
"2024-04-22T00:52:15",1713739935,12.812880
"2024-04-22T02:52:30",1713747150,12.522367
"2024-04-22T04:52:46",1713754366,12.739168
"2024-04-22T06:53:01",1713761581,12.452991
"2024-04-22T08:53:17",1713768797,13.380896
"2024-04-22T10:53:32",1713776012,13.567343
"2024-04-22T12:53:48",1713783228,13.857855
"2024-04-22T14:54:04",1713790444,14.005280
"2024-04-22T16:54:19",1713797659,13.706096
"2024-04-22T18:54:35",1713804875,12.942960
"2024-04-22T20:54:50",1713812090,13.055695
"2024-04-22T22:55:06",1713819306,12.960302
"2024-04-23T00:55:22",1713826522,12.908270
"2024-04-23T02:55:37",1713833737,12.639441
"2024-04-23T04:55:53",1713840953,12.817215
"2024-04-23T06:56:08",1713848168,12.782529
"2024-04-23T08:56:24",1713855384,14.499585
"2024-04-23T10:56:39",1713862599,13.957583
"2024-04-23T12:56:55",1713869815,14.026959
"2024-04-23T14:57:11",1713877031,13.658400
"2024-04-23T16:57:26",1713884246,13.987936
"2024-04-23T18:57:42",1713891462,14.642673
"2024-04-23T20:57:57",1713898677,13.081711
"2024-04-23T22:58:13",1713905893,12.947296
"2024-04-24T00:58:28",1713913108,12.925615
"2024-04-24T02:58:44",1713920324,12.860576
"2024-04-24T04:59:00",1713927540,12.786864
"2024-04-24T06:59:15",1713934755,12.704479
"2024-04-24T08:59:31",1713941971,13.545664
"2024-04-24T10:59:46",1713949186,13.957583
"2024-04-24T13:00:02",1713956402,13.996608
"2024-04-24T15:00:18",1713963618,14.052976
"2024-04-24T17:00:33",1713970833,14.052976
"2024-04-24T19:00:49",1713978049,14.386847
"2024-04-24T21:01:04",1713985264,13.133743
"2024-04-24T23:01:20",1713992480,12.947296
"2024-04-25T01:01:35",1713999695,12.873584
"2024-04-25T03:01:51",1714006911,12.869247
"2024-04-25T05:02:07",1714014127,12.812880
"2024-04-25T07:02:22",1714021342,12.726160
"2024-04-25T09:02:38",1714028558,13.094721
"2024-04-25T11:02:53",1714035773,14.052976
"2024-04-25T13:03:09",1714042989,14.018288
"2024-04-25T15:03:24",1714050204,14.018288
"2024-04-25T17:03:40",1714057420,13.979263
"2024-04-25T19:03:56",1714064636,14.157041
"2024-04-25T21:04:11",1714071851,12.951632
"2024-04-25T23:04:27",1714079067,12.951632
"2024-04-26T01:04:42",1714086282,12.895264
"2024-04-26T03:04:58",1714093498,12.851903
"2024-04-26T05:05:14",1714100714,12.708815
"2024-04-26T07:05:29",1714107929,12.734831
"2024-04-26T09:05:45",1714115145,13.901217
"2024-04-26T11:06:00",1714122360,13.961920
"2024-04-26T13:06:16",1714129576,14.035632
"2024-04-26T15:06:31",1714136791,13.857855
"2024-04-26T17:06:47",1714144007,14.174383
"2024-04-26T19:07:03",1714151223,14.226415
"2024-04-26T21:07:18",1714158438,13.328863
"2024-04-26T23:07:34",1714165654,13.016672
"2024-04-27T01:07:49",1714172869,12.929952
"2024-04-27T03:08:05",1714180085,12.834559
"2024-04-27T05:08:21",1714187301,12.825888
"2024-04-27T07:08:36",1714194516,12.691471
"2024-04-27T09:08:52",1714201732,13.281168
"2024-04-27T11:09:07",1714208947,13.393903
"2024-04-27T13:09:23",1714216163,14.677359
"2024-04-27T15:09:38",1714223378,14.074656
"2024-04-27T17:09:54",1714230594,14.070320
"2024-04-27T19:10:10",1714237810,13.857855
"2024-04-27T21:10:25",1714245025,13.081713
"2024-04-27T23:10:41",1714252241,12.921280
"2024-04-28T01:10:56",1714259456,12.942961
"2024-04-28T03:11:12",1714266672,12.795535
"2024-04-28T05:11:27",1714273887,12.830223
"2024-04-28T07:11:43",1714281103,12.765184
"2024-04-28T09:11:59",1714288319,13.099055
"2024-04-28T11:12:14",1714295534,13.324527
"2024-04-28T13:12:30",1714302750,13.909887
"2024-04-28T15:12:45",1714309965,14.061648
"2024-04-28T17:13:01",1714317181,13.203119
"2024-04-28T19:13:17",1714324397,13.190112
"2024-04-28T21:13:32",1714331612,13.051359
"2024-04-28T23:13:48",1714338828,12.981984
"2024-04-29T01:14:03",1714346043,12.925616
"2024-04-29T03:14:19",1714353259,12.821551
"2024-04-29T05:14:34",1714360474,12.522367
"2024-04-29T07:14:50",1714367690,12.756511
"2024-04-29T09:15:06",1714374906,12.964640
"2024-04-29T11:15:21",1714382121,13.974927
"2024-04-29T13:15:37",1714389337,13.992271
"2024-04-29T15:15:52",1714396552,14.629663
"2024-04-29T17:16:08",1714403768,14.278447
"2024-04-29T19:16:24",1714410984,13.042688
"2024-04-29T21:16:39",1714418199,14.534271
"2024-04-29T23:16:55",1714425415,12.994990
"2024-04-30T01:17:10",1714432630,13.008000
"2024-04-30T03:17:26",1714439846,12.955968
"2024-04-30T05:17:41",1714447061,12.869247
"2024-04-30T07:17:57",1714454277,12.773856
"2024-04-30T09:18:13",1714461493,12.968976
"2024-04-30T11:18:28",1714468708,13.510976
"2024-04-30T13:18:44",1714475924,14.013951
"2024-04-30T15:18:59",1714483139,13.615039
"2024-04-30T17:19:15",1714490355,13.792816
"2024-04-30T19:19:31",1714497571,14.412863
"2024-04-30T21:19:46",1714504786,12.955968
"2024-04-30T23:20:02",1714512002,13.081711
"2024-05-01T01:20:17",1714519217,12.929952
"2024-05-01T03:20:33",1714526433,12.947296
"2024-05-01T05:20:49",1714533649,12.925615
"2024-05-01T07:21:04",1714540864,12.847568
"2024-05-01T09:21:20",1714548080,13.138080
"2024-05-01T11:21:35",1714555295,14.647008
"2024-05-01T13:21:51",1714562511,13.957585
"2024-05-01T15:22:06",1714569726,14.074656
"2024-05-01T17:22:22",1714576942,14.048639
"2024-05-01T19:22:38",1714584158,14.594975
"2024-05-01T21:22:53",1714591373,13.346207
"2024-05-01T23:23:09",1714598589,12.890927
"2024-05-02T01:23:24",1714605804,12.604753
"2024-05-02T03:23:40",1714613020,12.526705
"2024-05-02T05:23:55",1714620235,12.682800
"2024-05-02T07:24:11",1714627451,12.864911
"2024-05-02T09:24:27",1714634667,13.697424
"2024-05-02T11:24:42",1714641882,14.300128
"2024-05-02T13:24:58",1714649098,14.061647
"2024-05-02T15:25:13",1714656313,14.113680
"2024-05-02T17:25:29",1714663529,12.973312
"2024-05-02T19:25:45",1714670745,13.133743
"2024-05-02T21:26:00",1714677960,13.068703
"2024-05-02T23:26:16",1714685176,13.003664
"2024-05-03T01:26:31",1714692391,12.955968
"2024-05-03T03:26:47",1714699607,12.999329
"2024-05-03T05:27:02",1714706822,12.925616
"2024-05-03T07:27:18",1714714038,12.899600
"2024-05-03T09:27:34",1714721254,12.947296
"2024-05-03T11:27:49",1714728469,13.051361
"2024-05-03T13:28:05",1714735685,13.181440
"2024-05-03T15:28:20",1714742900,13.415584
"2024-05-03T17:28:36",1714750116,12.886592
"2024-05-03T19:28:52",1714757332,12.929952
"2024-05-03T21:29:07",1714764547,12.734831
"2024-05-03T23:29:23",1714771763,12.782529
"2024-05-04T01:29:38",1714778978,12.795537
"2024-05-04T03:29:54",1714786194,12.691472
"2024-05-04T05:30:10",1714793410,12.700144
"2024-05-04T07:30:25",1714800625,12.457327
"2024-05-04T09:30:41",1714807841,13.844847
"2024-05-04T11:30:56",1714815056,14.655680
"2024-05-04T13:31:12",1714822272,14.044304
"2024-05-04T15:31:27",1714829487,14.057312
