t,ts,v
"2023-07-30T18:13:29",1690733609,13.175720
"2023-07-30T20:13:45",1690740825,12.941447
"2023-07-30T22:14:00",1690748040,12.841664
"2023-07-31T00:14:16",1690755256,12.919756
"2023-07-31T02:14:31",1690762471,12.872034
"2023-07-31T04:15:47",1690769747,12.620406
"2023-07-31T06:17:27",1690777047,12.793942
"2023-07-31T08:18:34",1690784314,12.746219
"2023-07-31T10:18:50",1690791530,12.637758
"2023-07-31T12:19:05",1690798745,13.249474
"2023-07-31T14:19:21",1690805961,13.271166
"2023-07-31T16:19:36",1690813176,13.305873
"2023-07-31T18:19:52",1690820392,12.889387
"2023-07-31T20:20:07",1690827607,12.958801
"2023-07-31T22:20:23",1690834823,12.850342
"2023-08-01T00:20:38",1690842038,12.789604
"2023-08-01T02:20:54",1690849254,12.676805
"2023-08-01T04:21:10",1690856470,12.433855
"2023-08-01T06:21:25",1690863685,12.485916
"2023-08-01T08:21:41",1690870901,12.702836
"2023-08-01T10:21:56",1690878116,13.527130
"2023-08-01T12:22:12",1690885332,13.401319
"2023-08-01T14:22:27",1690892547,14.694160
"2023-08-01T16:22:43",1690899763,14.091124
"2023-08-01T18:22:58",1690906978,13.383963
"2023-08-01T20:23:14",1690914194,12.911077
"2023-08-01T22:23:29",1690921409,12.763573
"2023-08-02T00:23:45",1690928625,12.971815
"2023-08-02T02:24:00",1690935840,12.919756
"2023-08-02T04:24:16",1690943056,12.924093
"2023-08-02T06:24:31",1690950271,12.819972
"2023-08-02T08:24:47",1690957487,12.802618
"2023-08-02T10:25:02",1690964702,13.080276
"2023-08-02T12:25:18",1690971918,13.327565
"2023-08-02T14:25:34",1690979134,14.854681
"2023-08-02T16:25:49",1690986349,14.147522
"2023-08-02T18:26:05",1690993565,14.164876
"2023-08-02T20:26:20",1691000780,12.776587
"2023-08-02T22:26:36",1691007996,13.006523
"2023-08-03T00:26:51",1691015211,12.937108
"2023-08-03T02:27:07",1691022427,12.937109
"2023-08-03T04:27:22",1691029642,12.828649
"2023-08-03T06:27:38",1691036858,12.776588
"2023-08-03T08:27:53",1691044073,12.876370
"2023-08-03T10:28:09",1691051289,13.579193
"2023-08-03T12:28:25",1691058505,13.106306
"2023-08-03T14:28:40",1691065720,13.340579
"2023-08-03T16:28:56",1691072936,14.086786
"2023-08-03T18:29:11",1691080151,13.622576
"2023-08-03T20:29:27",1691087367,13.262489
"2023-08-03T22:29:42",1691094582,13.010861
"2023-08-04T00:29:58",1691101798,12.650775
"2023-08-04T02:30:13",1691109013,12.724527
"2023-08-04T04:30:29",1691116229,12.850340
"2023-08-04T06:30:44",1691123444,12.859018
"2023-08-04T08:31:00",1691130660,12.854680
"2023-08-04T10:31:15",1691137875,13.379626
"2023-08-04T12:31:31",1691145091,13.661621
"2023-08-04T14:31:47",1691152307,14.095462
"2023-08-04T16:32:02",1691159522,14.112816
"2023-08-04T18:32:18",1691166738,14.108478
"2023-08-04T20:32:33",1691173953,13.470732
"2023-08-04T22:32:49",1691181169,13.084615
"2023-08-05T00:33:04",1691188384,12.958801
"2023-08-05T02:33:20",1691195600,12.928432
"2023-08-05T04:33:35",1691202815,12.893724
"2023-08-05T06:33:51",1691210031,12.832988
"2023-08-05T08:34:07",1691217247,13.054247
"2023-08-05T10:34:22",1691224462,13.262489
"2023-08-05T12:34:38",1691231678,13.297197
"2023-08-05T14:34:53",1691238893,13.518456
"2023-08-05T16:35:09",1691246109,14.082446
"2023-08-05T18:35:24",1691253324,14.030385
"2023-08-05T20:35:40",1691260540,13.470732
"2023-08-05T22:35:56",1691267756,13.028215
"2023-08-06T00:36:11",1691274971,12.954462
"2023-08-06T02:36:27",1691282187,12.689820
"2023-08-06T04:36:42",1691289402,12.581360
"2023-08-06T06:36:58",1691296618,12.577022
"2023-08-06T08:37:14",1691303834,12.620405
"2023-08-06T10:37:29",1691311049,13.062922
"2023-08-06T12:37:45",1691318265,13.501101
"2023-08-06T14:38:00",1691325480,13.583531
"2023-08-06T16:38:16",1691332696,13.583531
"2023-08-06T18:38:31",1691339911,13.154028
"2023-08-06T20:38:47",1691347127,12.984831
"2023-08-06T22:39:02",1691354342,12.754897
"2023-08-07T00:39:18",1691361558,12.728867
"2023-08-07T02:39:34",1691368774,12.720189
"2023-08-07T04:39:49",1691375989,12.893725
"2023-08-07T06:40:05",1691383205,12.789602
"2023-08-07T08:40:21",1691390421,12.902403
"2023-08-07T10:40:36",1691397636,13.770082
"2023-08-07T12:40:52",1691404852,13.696329
"2023-08-07T14:41:07",1691412067,14.091124
"2023-08-07T16:41:23",1691419283,14.056417
"2023-08-07T18:41:38",1691426498,14.151860
"2023-08-07T20:41:54",1691433714,14.134508
"2023-08-07T22:42:09",1691440929,13.023877
"2023-08-08T00:42:25",1691448145,12.963140
"2023-08-08T02:42:41",1691455361,12.906741
"2023-08-08T04:42:56",1691462576,12.854680
"2023-08-08T06:43:12",1691469792,12.819972
"2023-08-08T08:43:27",1691477007,12.819972
"2023-08-08T10:43:43",1691484223,13.370949
"2023-08-08T12:43:58",1691491438,14.047739
"2023-08-08T14:44:14",1691498654,14.043401
"2023-08-08T16:44:30",1691505870,13.436025
"2023-08-08T18:44:45",1691513085,14.342751
"2023-08-08T20:45:01",1691520301,13.180059
"2023-08-08T22:45:16",1691527516,13.015201
"2023-08-09T00:45:32",1691534732,12.950125
"2023-08-09T02:45:47",1691541947,12.954463
"2023-08-09T04:46:03",1691549163,12.924093
"2023-08-09T06:46:19",1691556379,12.815634
"2023-08-09T08:46:34",1691563594,12.976155
"2023-08-09T10:46:50",1691570810,14.108477
"2023-08-09T12:47:05",1691578025,14.737546
"2023-08-09T14:47:21",1691585241,14.702838
"2023-08-09T16:47:36",1691592456,14.078108
"2023-08-09T18:47:52",1691599672,14.143184
"2023-08-09T20:48:08",1691606888,13.110644
"2023-08-09T22:48:23",1691614103,12.898064
"2023-08-10T00:48:39",1691621319,13.036893
"2023-08-10T02:48:55",1691628535,12.989169
"2023-08-10T04:49:10",1691635750,12.898062
"2023-08-10T06:49:26",1691642966,12.846003
"2023-08-10T08:49:41",1691650181,12.911079
"2023-08-10T10:49:57",1691657397,13.947957
"2023-08-10T12:50:12",1691664612,14.728868
"2023-08-10T14:50:28",1691671828,13.796112
"2023-08-10T16:50:43",1691679043,14.030385
"2023-08-10T18:50:59",1691686259,13.652945
"2023-08-10T20:51:15",1691693475,13.158368
"2023-08-10T22:51:30",1691700690,12.767912
"2023-08-11T00:51:30",1691707890,12.637759
"2023-08-11T02:51:46",1691715106,12.767912
"2023-08-11T04:52:01",1691722321,12.542315
"2023-08-11T06:52:17",1691729537,12.650774
"2023-08-11T08:52:33",1691736753,13.362272
"2023-08-11T10:52:48",1691743968,13.418673
"2023-08-11T12:53:04",1691751184,14.715853
"2023-08-11T14:53:19",1691758399,14.715853
"2023-08-11T16:53:35",1691765615,14.637762
"2023-08-11T18:53:50",1691772830,12.963140
"2023-08-11T18:47:51",1691772471,12.971817
"2023-08-11T20:47:51",1691779671,12.902402
"2023-08-11T22:47:51",1691786871,13.002185
"2023-08-12T00:47:51",1691794071,12.780927
"2023-08-12T02:48:07",1691801287,12.832987
"2023-08-12T04:48:23",1691808503,12.733203
"2023-08-12T06:48:38",1691815718,12.637759
"2023-08-12T08:48:54",1691822934,12.724527
"2023-08-12T10:49:09",1691830149,13.101969
"2023-08-12T12:49:25",1691837365,13.748390
"2023-08-12T12:44:57",1691837097,13.744052
"2023-08-12T14:44:57",1691844297,14.702838
"2023-08-12T16:44:57",1691851497,14.164876
"2023-08-12T18:44:57",1691858697,13.258151
"2023-08-12T20:45:12",1691865912,13.054247
"2023-08-12T22:45:28",1691873128,12.941447
"2023-08-13T00:45:43",1691880343,12.802618
"2023-08-13T02:45:59",1691887559,12.854680
"2023-08-13T04:46:15",1691894775,12.650774
"2023-08-13T06:46:30",1691901990,12.607391
"2023-08-13T08:46:46",1691909206,13.028216
"2023-08-13T10:47:01",1691916421,13.201752
"2023-08-13T12:47:17",1691923637,13.023877
"2023-08-13T14:47:32",1691930852,12.906740
"2023-08-13T16:47:48",1691938068,13.219106
"2023-08-13T18:47:48",1691945268,12.963140
"2023-08-13T20:48:04",1691952484,12.720189
"2023-08-13T22:48:20",1691959700,12.485915
"2023-08-13T22:46:38",1691959598,12.433855
"2023-08-14T00:46:54",1691966814,12.611729
"2023-08-14T00:46:22",1691966782,12.511947
"2023-08-14T02:46:38",1691973998,12.629084
"2023-08-14T04:46:53",1691981213,12.568345
"2023-08-14T06:47:09",1691988429,12.464224
"2023-08-14T08:47:24",1691995644,12.932770
"2023-08-14T10:47:24",1692002844,13.444702
"2023-08-14T12:47:24",1692010044,13.535808
"2023-08-14T14:47:24",1692017244,14.295029
"2023-08-14T16:47:24",1692024444,14.824312
"2023-08-14T18:47:24",1692031644,13.136675
"2023-08-14T20:47:24",1692038844,13.054247
"2023-08-14T22:47:24",1692046044,13.058584
"2023-08-15T00:47:24",1692053244,13.049909
"2023-08-15T02:47:24",1692060444,12.902402
"2023-08-15T04:47:53",1692067673,12.937109
