"t","ts","v"
"2021-08-28T14:45:59",1630154759.0,14.54
"2021-08-28T15:45:59",1630158359.0,13.068
"2021-08-28T16:46:14",1630161974.0,14.06
"2021-08-28T17:46:30",1630165590.0,14.58
"2021-08-28T18:46:45",1630169205.0,13.708
"2021-08-28T19:47:01",1630172821.0,13.828
"2021-08-28T20:47:16",1630176436.0,13.612
"2021-08-28T21:47:32",1630180052.0,13.676
"2021-08-28T22:47:47",1630183667.0,13.42
"2021-08-28T23:48:03",1630187283.0,13.58
"2021-08-29T00:48:18",1630190898.0,13.412
"2021-08-29T01:48:34",1630194514.0,13.524
"2021-08-29T02:48:49",1630198129.0,13.476
"2021-08-29T03:49:05",1630201745.0,13.444
"2021-08-29T04:49:21",1630205361.0,13.42
"2021-08-29T05:49:36",1630208976.0,13.228
"2021-08-29T06:49:52",1630212592.0,13.42
"2021-08-29T07:50:07",1630216207.0,13.444
"2021-08-29T08:50:23",1630219823.0,13.556
"2021-08-29T09:50:38",1630223438.0,13.796
"2021-08-29T10:50:54",1630227054.0,13.388
"2021-08-29T11:51:09",1630230669.0,14.012
"2021-08-29T12:51:25",1630234285.0,13.948
"2021-08-29T13:51:40",1630237900.0,14.06
"2021-08-29T14:51:56",1630241516.0,13.972
"2021-08-29T15:52:12",1630245132.0,13.74
"2021-08-29T16:52:27",1630248747.0,14.084
"2021-08-29T17:52:43",1630252363.0,13.588
"2021-08-29T18:52:58",1630255978.0,13.74
"2021-08-29T19:53:14",1630259594.0,13.66
"2021-08-29T20:53:29",1630263209.0,13.444
"2021-08-29T21:53:45",1630266825.0,13.42
"2021-08-29T22:54:00",1630270440.0,13.252
"2021-08-29T23:54:16",1630274056.0,13.42
"2021-08-30T00:54:31",1630277671.0,13.42
"2021-08-30T01:54:47",1630281287.0,13.42
"2021-08-30T02:55:02",1630284902.0,13.42
"2021-08-30T03:55:18",1630288518.0,13.18
"2021-08-30T04:55:34",1630292134.0,13.396
"2021-08-30T05:55:49",1630295749.0,13.388
"2021-08-30T06:56:05",1630299365.0,13.38
"2021-08-30T07:56:20",1630302980.0,13.404
"2021-08-30T08:56:36",1630306596.0,13.156
"2021-08-30T09:56:51",1630310211.0,13.668
"2021-08-30T10:57:07",1630313827.0,13.86
"2021-08-30T11:57:22",1630317442.0,13.9
"2021-08-30T12:57:38",1630321058.0,14.3
"2021-08-30T13:57:53",1630324673.0,14.036
"2021-08-30T14:58:09",1630328289.0,15.164
"2021-08-30T15:58:25",1630331905.0,14.06
"2021-08-30T16:58:40",1630335520.0,14.7
"2021-08-30T17:58:56",1630339136.0,15.276
"2021-08-30T18:59:11",1630342751.0,14.02
"2021-08-30T19:59:27",1630346367.0,13.916
"2021-08-30T20:59:42",1630349982.0,13.652
"2021-08-30T21:59:58",1630353598.0,13.716
"2021-08-30T23:00:13",1630357213.0,13.5
"2021-08-31T00:00:29",1630360829.0,13.668
"2021-08-31T01:00:44",1630364444.0,13.644
"2021-08-31T02:01:00",1630368060.0,13.588
"2021-08-31T03:01:16",1630371676.0,13.58
"2021-08-31T04:01:31",1630375291.0,13.42
"2021-08-31T05:01:47",1630378907.0,13.54
"2021-08-31T06:02:02",1630382522.0,13.524
"2021-08-31T07:02:18",1630386138.0,13.5
"2021-08-31T08:02:33",1630389753.0,13.516
"2021-08-31T09:02:49",1630393369.0,13.42
"2021-08-31T10:03:04",1630396984.0,14.212
"2021-08-31T11:03:20",1630400600.0,13.988
"2021-08-31T12:03:35",1630404215.0,14.06
"2021-08-31T13:03:51",1630407831.0,14.476
"2021-08-31T14:04:07",1630411447.0,14.332
"2021-08-31T15:04:22",1630415062.0,14.588
"2021-08-31T16:04:38",1630418678.0,14.612
"2021-08-31T17:04:53",1630422293.0,14.18
"2021-08-31T18:05:09",1630425909.0,14.572
"2021-08-31T19:05:24",1630429524.0,13.78
"2021-08-31T20:05:40",1630433140.0,13.756
"2021-08-31T21:05:55",1630436755.0,13.484
"2021-08-31T22:06:11",1630440371.0,13.66
"2021-08-31T23:06:26",1630443986.0,13.62
"2021-09-01T00:06:42",1630447602.0,13.62
"2021-09-01T01:06:58",1630451218.0,13.58
"2021-09-01T02:07:13",1630454833.0,13.46
"2021-09-01T03:07:29",1630458449.0,13.476
"2021-09-01T04:07:44",1630462064.0,13.284
"2021-09-01T05:08:00",1630465680.0,13.46
"2021-09-01T06:08:15",1630469295.0,13.436
"2021-09-01T07:08:31",1630472911.0,13.42
"2021-09-01T08:08:46",1630476526.0,13.42
"2021-09-01T09:09:02",1630480142.0,13.26
"2021-09-01T10:09:18",1630483758.0,13.74
"2021-09-01T11:09:33",1630487373.0,14.124
"2021-09-01T12:09:49",1630490989.0,14.348
"2021-09-01T13:10:04",1630494604.0,14.756
"2021-09-01T14:10:20",1630498220.0,14.044
"2021-09-01T15:10:35",1630501835.0,15.22
"2021-09-01T16:10:51",1630505451.0,13.684
"2021-09-01T17:11:06",1630509066.0,14.588
"2021-09-01T18:11:22",1630512682.0,14.196
"2021-09-01T19:11:37",1630516297.0,13.9
"2021-09-01T20:11:53",1630519913.0,13.804
"2021-09-01T21:12:09",1630523529.0,13.668
"2021-09-01T22:12:24",1630527144.0,13.604
"2021-09-01T23:12:40",1630530760.0,13.412
"2021-09-02T00:12:55",1630534375.0,13.612
"2021-09-02T01:13:11",1630537991.0,13.42
"2021-09-02T02:13:26",1630541606.0,13.54
"2021-09-02T03:13:42",1630545222.0,13.516
"2021-09-02T04:13:57",1630548837.0,13.468
"2021-09-02T05:14:13",1630552453.0,13.46
"2021-09-02T06:14:28",1630556068.0,13.26
"2021-09-02T07:14:44",1630559684.0,13.42
"2021-09-02T08:15:00",1630563300.0,13.42
"2021-09-02T09:15:15",1630566915.0,13.484
"2021-09-02T10:15:31",1630570531.0,13.788
"2021-09-02T11:15:46",1630574146.0,13.404
"2021-09-02T12:16:02",1630577762.0,13.828
"2021-09-02T13:16:17",1630581377.0,14.052
"2021-09-02T14:16:33",1630584993.0,14.068
"2021-09-02T15:16:48",1630588608.0,14.38
"2021-09-02T16:17:04",1630592224.0,14.188
"2021-09-02T17:17:19",1630595839.0,14.612
"2021-09-02T18:17:35",1630599455.0,14.06
"2021-09-02T19:17:51",1630603071.0,14.06
"2021-09-02T20:18:06",1630606686.0,13.46
"2021-09-02T21:18:22",1630610302.0,13.732
"2021-09-02T22:18:37",1630613917.0,13.7
"2021-09-02T23:18:53",1630617533.0,13.644
"2021-09-03T00:19:08",1630621148.0,13.62
"2021-09-03T01:19:24",1630624764.0,13.412
"2021-09-03T02:19:39",1630628379.0,13.548
"2021-09-03T03:19:55",1630631995.0,13.5
"2021-09-03T04:20:10",1630635610.0,13.492
"2021-09-03T05:20:26",1630639226.0,13.452
"2021-09-03T06:20:42",1630642842.0,13.236
"2021-09-03T07:20:57",1630646457.0,13.42
"2021-09-03T08:21:13",1630650073.0,13.42
"2021-09-03T09:21:28",1630653688.0,13.348
"2021-09-03T10:21:44",1630657304.0,14.268
"2021-09-03T11:21:59",1630660919.0,15.18
"2021-09-03T12:22:15",1630664535.0,14.588
"2021-09-03T13:22:30",1630668150.0,14.604
"2021-09-03T14:22:46",1630671766.0,14.34
"2021-09-03T15:23:02",1630675382.0,14.98
"2021-09-03T16:23:17",1630678997.0,14.524
"2021-09-03T17:23:33",1630682613.0,14.332
"2021-09-03T18:23:48",1630686228.0,15.188
"2021-09-03T19:24:04",1630689844.0,14.62
"2021-09-03T20:24:19",1630693459.0,13.58
"2021-09-03T21:24:35",1630697075.0,13.7
"2021-09-03T22:24:50",1630700690.0,13.492
"2021-09-03T23:25:06",1630704306.0,13.668
"2021-09-04T00:25:21",1630707921.0,13.636
"2021-09-04T01:25:37",1630711537.0,13.596
"2021-09-04T02:25:53",1630715153.0,13.572
"2021-09-04T03:26:08",1630718768.0,13.324
"2021-09-04T04:26:24",1630722384.0,13.508
"2021-09-04T05:26:39",1630725999.0,13.492
"2021-09-04T06:26:55",1630729615.0,13.46
"2021-09-04T07:27:10",1630733230.0,13.42
"2021-09-04T08:27:26",1630736846.0,13.356
