t,ts,v
"2023-10-17T18:29:15",1697560155,12.399912
"2023-10-17T20:29:30",1697567370,12.302208
"2023-10-17T22:29:46",1697574586,12.497616
"2023-10-18T00:30:01",1697581801,12.603816
"2023-10-18T02:30:17",1697589017,12.637800
"2023-10-18T04:30:32",1697596232,12.659039
"2023-10-18T06:30:48",1697603448,12.625056
"2023-10-18T08:31:03",1697610663,12.514608
"2023-10-18T10:31:19",1697617879,13.589353
"2023-10-18T12:31:34",1697625094,13.954679
"2023-10-18T14:31:50",1697632310,14.349744
"2023-10-18T16:32:05",1697639525,14.222303
"2023-10-18T18:32:21",1697646741,13.359961
"2023-10-18T20:32:36",1697653956,13.219775
"2023-10-18T22:32:52",1697661172,13.198535
"2023-10-19T00:33:07",1697668387,13.211279
"2023-10-19T02:33:23",1697675603,13.168800
"2023-10-19T04:33:38",1697682818,13.156056
"2023-10-19T06:33:54",1697690034,13.117824
"2023-10-19T08:34:09",1697697249,13.134816
"2023-10-19T10:34:25",1697704465,13.648824
"2023-10-19T12:34:40",1697711680,14.655600
"2023-10-19T14:34:56",1697718896,14.192568
"2023-10-19T16:35:11",1697726111,14.158585
"2023-10-19T18:35:27",1697733327,13.712543
"2023-10-19T20:35:42",1697740542,13.253759
"2023-10-19T22:35:58",1697747758,13.181543
"2023-10-20T00:36:13",1697754973,13.173047
"2023-10-20T02:36:29",1697762189,13.156056
"2023-10-20T04:36:44",1697769404,13.100832
"2023-10-20T06:37:00",1697776620,13.130568
"2023-10-20T08:37:15",1697783835,13.113576
"2023-10-20T10:37:31",1697791051,13.185791
"2023-10-20T12:37:47",1697798267,13.627584
"2023-10-20T14:38:02",1697805482,14.048137
"2023-10-20T16:38:18",1697812698,13.708295
"2023-10-20T18:38:33",1697819913,13.279248
"2023-10-20T20:38:49",1697827129,13.139064
"2023-10-20T22:39:04",1697834344,13.117824
"2023-10-21T00:39:20",1697841560,13.071095
"2023-10-21T02:39:35",1697848775,13.083839
"2023-10-21T04:39:51",1697855991,13.062599
"2023-10-21T06:40:06",1697863206,13.041359
"2023-10-21T08:40:22",1697870422,13.015872
"2023-10-21T10:40:37",1697877637,13.393944
"2023-10-21T12:40:53",1697884853,14.774544
"2023-10-21T14:41:08",1697892068,14.222303
"2023-10-21T16:41:24",1697899284,14.043889
"2023-10-21T18:41:39",1697906499,13.512888
"2023-10-21T20:41:55",1697913715,13.202784
"2023-10-21T22:42:10",1697920930,13.130568
"2023-10-22T00:42:26",1697928146,13.041359
"2023-10-22T02:42:41",1697935361,13.066847
"2023-10-22T04:42:57",1697942577,13.054103
"2023-10-22T06:43:13",1697949793,13.032863
"2023-10-22T08:43:28",1697957008,13.003128
"2023-10-22T10:43:44",1697964224,14.455943
"2023-10-22T12:43:59",1697971439,14.141591
"2023-10-22T14:44:15",1697978655,14.179823
"2023-10-22T16:44:30",1697985870,14.116104
"2023-10-22T18:44:46",1697993086,13.253759
"2023-10-22T20:45:01",1698000301,13.075343
"2023-10-22T22:45:17",1698007517,13.020119
"2023-10-23T00:45:32",1698014732,13.007376
"2023-10-23T02:45:48",1698021948,13.015872
"2023-10-23T04:46:03",1698029163,12.977640
"2023-10-23T06:46:19",1698036379,12.977640
"2023-10-23T08:46:35",1698043595,12.926663
"2023-10-23T10:46:50",1698050810,14.778791
"2023-10-23T12:47:06",1698058026,14.128848
"2023-10-23T14:47:21",1698065241,14.145839
"2023-10-23T16:47:37",1698072457,14.116104
"2023-10-23T18:47:52",1698079672,13.984416
"2023-10-23T20:48:08",1698086888,13.304736
"2023-10-23T22:48:23",1698094103,13.105080
"2023-10-24T00:48:39",1698101319,13.054103
"2023-10-24T02:48:54",1698108534,13.024368
"2023-10-24T04:49:10",1698115750,13.024366
"2023-10-24T06:49:26",1698122966,13.007375
"2023-10-24T08:49:41",1698130181,12.952151
"2023-10-24T10:49:57",1698137397,13.062599
"2023-10-24T12:50:12",1698144612,14.379480
"2023-10-24T14:50:28",1698151828,14.145839
"2023-10-24T16:50:44",1698159044,14.150088
"2023-10-24T18:50:59",1698166259,14.103360
"2023-10-24T20:51:15",1698173475,13.436424
"2023-10-24T22:51:30",1698180690,13.143312
"2023-10-25T00:51:46",1698187906,13.083839
"2023-10-25T02:52:01",1698195121,13.020121
"2023-10-25T04:52:17",1698202337,12.977640
"2023-10-25T06:52:32",1698209552,12.986135
"2023-10-25T08:52:48",1698216768,12.947904
