t,ts,v
"2025-04-06T14:18:34",1743941914,14.120352
"2025-04-06T16:18:49",1743949129,14.570639
"2025-04-06T18:19:05",1743956345,13.427928
"2025-04-06T20:19:21",1743963561,12.952151
"2025-04-06T22:19:36",1743970776,12.884184
"2025-04-07T00:19:52",1743977992,12.850200
"2025-04-07T02:20:07",1743985207,12.799224
"2025-04-07T04:20:23",1743992423,12.786479
"2025-04-07T06:20:38",1743999638,12.756743
"2025-04-07T08:20:54",1744006854,12.939407
"2025-04-07T10:21:09",1744014069,15.033671
"2025-04-07T12:21:25",1744021285,14.791536
"2025-04-07T14:21:40",1744028500,14.171328
"2025-04-07T16:21:56",1744035716,14.103360
"2025-04-07T18:22:11",1744042931,13.674312
"2025-04-07T20:22:27",1744050147,12.943655
"2025-04-07T22:22:42",1744057362,12.862944
"2025-04-08T00:22:58",1744064578,12.782232
"2025-04-08T02:23:13",1744071793,12.752496
"2025-04-08T04:23:29",1744079009,12.701519
"2025-04-08T06:23:44",1744086224,12.642048
"2025-04-08T08:24:00",1744093440,12.833208
"2025-04-08T10:24:15",1744100655,14.808528
"2025-04-08T12:24:31",1744107871,14.099112
"2025-04-08T14:24:46",1744115086,14.128848
"2025-04-08T16:25:02",1744122302,14.154335
"2025-04-08T18:25:17",1744129517,14.116104
"2025-04-08T20:25:33",1744136733,13.024366
"2025-04-08T22:25:48",1744143948,12.850200
"2025-04-09T00:26:04",1744151164,12.794975
"2025-04-09T02:26:19",1744158379,12.697271
"2025-04-09T04:26:35",1744165595,12.688776
"2025-04-09T06:26:50",1744172810,12.650544
"2025-04-09T08:27:06",1744180026,12.671783
"2025-04-09T10:27:21",1744187241,14.184072
"2025-04-09T12:27:37",1744194457,14.783040
"2025-04-09T14:27:53",1744201673,14.124600
"2025-04-09T16:28:08",1744208888,14.111856
"2025-04-09T18:28:24",1744216104,14.116104
"2025-04-09T20:28:39",1744223319,13.262256
"2025-04-09T22:28:55",1744230535,12.862944
"2025-04-10T00:29:10",1744237750,12.799223
"2025-04-10T02:29:26",1744244966,12.710016
"2025-04-10T04:29:41",1744252181,12.663287
"2025-04-10T06:29:57",1744259397,12.625056
"2025-04-10T08:30:12",1744266612,12.659039
"2025-04-10T10:30:28",1744273828,13.733783
"2025-04-10T12:30:43",1744281043,14.710825
"2025-04-10T14:30:59",1744288259,14.145841
"2025-04-10T16:31:14",1744295474,14.162831
"2025-04-10T18:31:30",1744302690,13.937688
"2025-04-10T20:31:46",1744309906,13.028615
"2025-04-10T22:32:01",1744317121,12.824713
"2025-04-11T00:32:17",1744324337,12.731256
"2025-04-11T02:32:32",1744331552,12.727007
"2025-04-11T04:32:48",1744338768,12.620809
"2025-04-11T06:33:03",1744345983,12.599568
"2025-04-11T08:33:19",1744353199,12.854448
"2025-04-11T10:33:34",1744360414,14.770296
"2025-04-11T12:33:50",1744367630,14.145841
"2025-04-11T14:34:05",1744374845,14.150088
"2025-04-11T16:34:21",1744382061,14.150088
"2025-04-11T18:34:36",1744389276,14.188319
"2025-04-11T20:34:52",1744396492,13.376951
"2025-04-11T22:35:07",1744403707,12.845952
"2025-04-12T00:35:23",1744410923,12.790728
"2025-04-12T02:35:38",1744418138,12.710015
"2025-04-12T04:35:54",1744425354,12.637800
"2025-04-12T06:36:10",1744432570,12.603816
"2025-04-12T08:36:25",1744439785,12.731256
"2025-04-12T10:36:41",1744447001,14.719320
"2025-04-12T12:36:56",1744454216,14.141592
"2025-04-12T14:36:56",1744461416,14.179823
"2025-04-12T16:36:56",1744468616,14.005656
"2025-04-12T18:37:11",1744475831,12.986135
"2025-04-12T20:37:27",1744483047,12.803473
"2025-04-12T22:37:42",1744490262,12.756743
"2025-04-13T00:37:58",1744497478,12.433896
"2025-04-13T02:38:13",1744504693,12.608065
"2025-04-13T04:38:29",1744511909,12.676031
"2025-04-13T06:38:45",1744519125,12.671785
"2025-04-13T08:39:00",1744526340,13.088087
"2025-04-13T10:39:16",1744533556,13.687056
"2025-04-13T12:39:31",1744540771,14.269032
"2025-04-13T14:39:47",1744547987,13.444919
"2025-04-13T16:40:02",1744555202,14.630112
"2025-04-13T18:40:18",1744562418,14.630112
"2025-04-13T20:40:33",1744569633,13.020119
"2025-04-13T22:40:49",1744576849,12.879936
"2025-04-14T00:41:05",1744584065,12.875689
"2025-04-14T02:41:20",1744591280,12.803472
"2025-04-14T04:41:36",1744598496,12.743999
"2025-04-14T06:41:51",1744605711,12.765240
"2025-04-14T08:42:07",1744612927,12.994632
"2025-04-14T10:42:23",1744620143,14.778791
"2025-04-14T12:42:38",1744627358,14.154337
"2025-04-14T14:42:54",1744634574,14.141592
"2025-04-14T16:43:09",1744641789,14.150088
"2025-04-14T18:43:25",1744649005,14.141592
"2025-04-14T20:43:40",1744656220,13.096583
"2025-04-14T22:43:56",1744663436,12.845952
"2025-04-15T00:44:11",1744670651,12.820463
"2025-04-15T02:44:27",1744677867,12.782231
"2025-04-15T04:44:43",1744685083,12.727007
"2025-04-15T06:44:58",1744692298,12.701520
"2025-04-15T08:45:14",1744699514,13.330225
"2025-04-15T10:45:29",1744706729,14.761800
"2025-04-15T12:45:45",1744713945,14.137344
"2025-04-15T14:46:01",1744721161,14.133097
"2025-04-15T16:46:16",1744728376,14.150088
"2025-04-15T18:46:32",1744735592,13.321729
"2025-04-15T20:46:47",1744742807,13.092336
"2025-04-15T22:47:03",1744750023,12.845952
"2025-04-16T00:47:18",1744757238,12.799224
"2025-04-16T02:47:34",1744764454,12.765240
"2025-04-16T04:47:49",1744771669,12.714263
"2025-04-16T06:48:05",1744778885,12.693023
"2025-04-16T08:48:21",1744786101,12.986135
"2025-04-16T10:48:36",1744793316,14.392224
"2025-04-16T12:48:52",1744800532,14.795784
"2025-04-16T14:49:07",1744807747,14.137342
"2025-04-16T16:49:23",1744814963,14.167079
"2025-04-16T18:49:38",1744822178,14.014153
"2025-04-16T20:49:54",1744829394,13.007376
"2025-04-16T22:50:10",1744836610,12.824712
"2025-04-17T00:50:25",1744843825,12.752496
"2025-04-17T02:50:41",1744851041,12.680280
"2025-04-17T04:50:56",1744858256,12.646297
"2025-04-17T06:51:12",1744865472,12.642047
"2025-04-17T08:51:27",1744872687,12.743999
"2025-04-17T10:51:43",1744879903,14.035391
"2025-04-17T12:51:59",1744887119,14.664096
"2025-04-17T14:52:14",1744894334,14.103360
"2025-04-17T16:52:30",1744901550,14.137344
"2025-04-17T18:52:45",1744908765,14.137344
"2025-04-17T20:53:01",1744915981,13.088087
"2025-04-17T22:53:16",1744923196,12.816217
"2025-04-18T00:53:32",1744930412,12.790728
"2025-04-18T02:53:48",1744937628,12.710016
"2025-04-18T04:54:03",1744944843,12.693023
"2025-04-18T06:54:19",1744952059,12.676033
"2025-04-18T08:54:34",1744959274,12.841703
"2025-04-18T10:54:50",1744966490,14.026896
"2025-04-18T12:55:06",1744973706,14.791536
"2025-04-18T14:55:21",1744980921,14.145841
"2025-04-18T16:55:37",1744988137,14.167079
"2025-04-18T18:55:52",1744995352,14.073624
"2025-04-18T20:56:08",1745002568,12.913920
"2025-04-18T22:56:08",1745009768,12.242736
"2025-04-19T00:56:24",1745016984,12.493368
"2025-04-19T02:56:40",1745024200,12.544344
"2025-04-19T04:56:55",1745031415,12.535849
"2025-04-19T06:57:11",1745038631,12.586824
"2025-04-19T08:57:26",1745045846,13.453417
"2025-04-19T10:57:42",1745053062,13.695552
"2025-04-19T12:57:58",1745060278,14.184072
"2025-04-19T14:58:13",1745067493,14.370984
"2025-04-19T16:58:13",1745074693,14.583384
"2025-04-19T18:58:28",1745081908,12.990384
"2025-04-19T20:58:44",1745089124,12.365927
"2025-04-19T20:57:50",1745089070,12.378672
"2025-04-19T22:57:50",1745096270,12.340439
"2025-04-20T00:58:06",1745103486,12.467880
"2025-04-20T02:58:21",1745110701,12.314952
"2025-04-20T04:58:37",1745117917,12.557089
