t,ts,v
"2023-07-30T18:13:53",1690733633,14.162832
"2023-07-30T20:14:09",1690740849,13.283496
"2023-07-30T22:14:24",1690748064,13.083839
"2023-07-31T00:14:40",1690755280,12.977640
"2023-07-31T02:14:55",1690762495,12.981888
"2023-07-31T04:15:11",1690769711,12.977640
"2023-07-31T06:15:26",1690776926,12.964895
"2023-07-31T08:15:42",1690784142,12.998880
"2023-07-31T10:15:57",1690791357,13.427927
"2023-07-31T12:16:13",1690798573,14.353992
"2023-07-31T14:16:28",1690805788,14.184072
"2023-07-31T16:16:44",1690813004,14.209559
"2023-07-31T18:16:59",1690820219,14.094864
"2023-07-31T20:17:15",1690827435,13.270752
"2023-07-31T22:17:30",1690834650,12.969144
"2023-08-01T00:17:46",1690841866,12.986135
"2023-08-01T02:18:01",1690849081,12.977638
"2023-08-01T04:18:17",1690856297,12.892680
"2023-08-01T06:18:32",1690863512,12.867192
"2023-08-01T08:18:48",1690870728,13.241015
"2023-08-01T10:19:03",1690877943,14.825519
"2023-08-01T12:19:19",1690885159,14.133097
"2023-08-01T14:19:34",1690892374,14.137344
"2023-08-01T16:19:50",1690899590,14.175575
"2023-08-01T18:20:05",1690906805,13.924944
"2023-08-01T20:20:21",1690914021,13.988665
"2023-08-01T22:20:36",1690921236,12.990382
"2023-08-02T00:20:52",1690928452,12.909673
"2023-08-02T02:21:07",1690935667,12.833208
"2023-08-02T04:21:23",1690942883,12.862944
"2023-08-02T06:21:38",1690950098,12.811968
"2023-08-02T08:21:54",1690957314,12.816216
"2023-08-02T10:22:09",1690964529,13.359960
"2023-08-02T12:22:25",1690971745,14.303017
"2023-08-02T14:22:40",1690978960,14.141592
"2023-08-02T16:22:56",1690986176,14.150088
"2023-08-02T18:23:12",1690993392,14.133097
"2023-08-02T20:23:27",1691000607,13.844233
"2023-08-02T22:23:43",1691007823,13.007376
"2023-08-03T00:23:58",1691015038,12.952151
"2023-08-03T02:24:14",1691022254,12.909673
"2023-08-03T04:24:29",1691029469,12.850200
"2023-08-03T06:24:45",1691036685,12.837456
"2023-08-03T08:25:00",1691043900,13.024366
"2023-08-03T10:25:16",1691051116,14.817024
"2023-08-03T12:25:31",1691058331,14.192568
"2023-08-03T14:25:47",1691065547,14.162831
"2023-08-03T16:26:02",1691072762,14.175577
"2023-08-03T18:26:18",1691079978,14.158585
"2023-08-03T20:26:33",1691087193,13.721039
"2023-08-03T22:26:49",1691094409,13.020119
"2023-08-04T00:27:05",1691101625,12.947904
"2023-08-04T02:27:20",1691108840,12.892680
"2023-08-04T04:27:35",1691116055,12.850200
"2023-08-04T06:27:51",1691123271,12.807721
"2023-08-04T08:28:07",1691130487,12.973392
"2023-08-04T10:28:22",1691137702,14.243544
"2023-08-04T12:28:38",1691144918,14.175575
"2023-08-04T14:28:53",1691152133,14.133097
"2023-08-04T16:29:09",1691159349,14.175577
"2023-08-04T18:29:24",1691166564,14.184072
"2023-08-04T20:29:40",1691173780,14.171329
"2023-08-04T22:29:55",1691180995,13.054103
"2023-08-05T00:30:11",1691188211,12.901175
"2023-08-05T02:30:26",1691195426,12.828959
"2023-08-05T04:30:42",1691202642,12.811969
"2023-08-05T06:30:57",1691209857,12.816217
"2023-08-05T08:31:13",1691217073,13.088087
"2023-08-05T10:31:29",1691224289,14.791536
"2023-08-05T12:31:44",1691231504,14.162832
"2023-08-05T14:32:00",1691238720,14.179825
"2023-08-05T16:32:15",1691245935,14.175577
"2023-08-05T18:32:31",1691253151,14.167079
"2023-08-05T20:32:46",1691260366,13.886713
"2023-08-05T22:33:02",1691267582,12.943655
"2023-08-06T00:33:18",1691274798,12.909673
"2023-08-06T02:33:33",1691282013,12.828959
"2023-08-06T04:33:49",1691289229,12.824712
"2023-08-06T06:34:04",1691296444,12.782232
"2023-08-06T08:34:20",1691303660,12.858696
"2023-08-06T10:34:35",1691310875,13.198535
"2023-08-06T12:34:51",1691318091,14.222303
"2023-08-06T14:35:06",1691325306,14.846759
"2023-08-06T16:35:22",1691332522,14.150088
"2023-08-06T18:35:38",1691339738,14.184072
"2023-08-06T20:35:53",1691346953,14.120352
"2023-08-06T22:36:09",1691354169,13.020119
"2023-08-07T00:36:24",1691361384,12.935160
"2023-08-07T02:36:40",1691368600,12.871439
"2023-08-07T04:36:55",1691375815,12.850200
"2023-08-07T06:37:11",1691383031,12.794975
"2023-08-07T08:37:27",1691390247,12.913920
"2023-08-07T10:37:42",1691397462,14.026896
"2023-08-07T12:37:58",1691404678,14.812777
"2023-08-07T14:38:13",1691411893,14.192568
"2023-08-07T16:38:29",1691419109,14.179823
"2023-08-07T18:38:44",1691426324,14.158585
"2023-08-07T20:39:00",1691433540,14.082120
"2023-08-07T22:39:16",1691440756,13.024366
"2023-08-08T00:39:31",1691447971,12.901175
"2023-08-08T02:39:47",1691455187,12.896929
"2023-08-08T04:40:02",1691462402,12.850200
"2023-08-08T06:40:18",1691469618,12.769487
"2023-08-08T08:40:33",1691476833,12.879936
"2023-08-08T10:40:49",1691484049,14.511168
"2023-08-08T12:41:04",1691491264,14.133097
"2023-08-08T14:41:20",1691498480,14.196815
"2023-08-08T16:41:36",1691505696,14.175577
"2023-08-08T18:41:51",1691512911,14.196815
"2023-08-08T20:42:07",1691520127,13.831488
"2023-08-08T22:42:22",1691527342,12.956400
"2023-08-09T00:42:38",1691534558,12.939407
"2023-08-09T02:42:54",1691541774,12.862944
"2023-08-09T04:43:09",1691548989,12.816217
"2023-08-09T06:43:25",1691556205,12.786479
"2023-08-09T08:43:40",1691563420,13.177295
"2023-08-09T10:43:56",1691570636,14.838263
"2023-08-09T12:44:11",1691577851,14.150088
"2023-08-09T14:44:27",1691585067,14.213808
"2023-08-09T16:44:42",1691592282,14.171329
"2023-08-09T18:44:58",1691599498,14.222303
"2023-08-09T20:45:14",1691606714,14.192568
"2023-08-09T22:45:29",1691613929,13.083839
"2023-08-10T00:45:45",1691621145,12.956400
"2023-08-10T02:46:00",1691628360,12.871440
"2023-08-10T04:46:16",1691635576,12.824713
"2023-08-10T06:46:31",1691642791,12.782231
"2023-08-10T08:46:47",1691650007,12.845952
"2023-08-10T10:47:03",1691657223,14.829767
"2023-08-10T12:47:18",1691664438,14.141592
"2023-08-10T14:47:34",1691671654,14.192568
"2023-08-10T16:47:49",1691678869,14.167081
"2023-08-10T18:48:05",1691686085,14.209559
"2023-08-10T20:48:20",1691693300,13.712543
"2023-08-10T22:48:36",1691700516,12.858696
"2023-08-11T00:48:52",1691707732,12.582576
"2023-08-11T00:48:25",1691707705,12.476376
"2023-08-11T02:48:41",1691714921,12.760992
"2023-08-11T04:48:56",1691722136,12.586824
"2023-08-11T06:49:12",1691729352,12.777983
"2023-08-11T08:49:28",1691736568,13.287745
"2023-08-11T10:49:43",1691743783,13.848480
"2023-08-11T12:49:59",1691750999,14.077871
"2023-08-11T14:50:14",1691758214,14.404966
"2023-08-11T16:50:30",1691765430,14.791536
"2023-08-11T18:50:45",1691772645,13.958928
"2023-08-11T18:45:24",1691772324,13.878217
"2023-08-11T20:45:24",1691779524,12.943655
"2023-08-11T22:45:24",1691786724,12.765240
"2023-08-12T00:45:24",1691793924,12.552839
"2023-08-12T02:45:39",1691801139,12.782231
"2023-08-12T04:45:55",1691808355,12.731256
"2023-08-12T06:46:11",1691815571,12.731256
"2023-08-12T08:46:26",1691822786,12.727007
"2023-08-12T10:46:42",1691830002,13.351463
"2023-08-12T12:46:42",1691837202,13.750775
"2023-08-12T14:46:42",1691844402,13.648824
"2023-08-12T16:46:42",1691851602,13.920697
"2023-08-12T18:46:42",1691858802,13.134816
"2023-08-12T20:46:58",1691866018,13.058352
"2023-08-12T22:47:13",1691873233,13.028615
"2023-08-13T00:47:29",1691880449,13.011622
"2023-08-13T02:47:44",1691887664,12.374423
"2023-08-13T04:48:00",1691894880,12.718512
"2023-08-13T06:48:15",1691902095,12.688775
"2023-08-13T08:48:31",1691909311,13.640327
"2023-08-13T10:48:47",1691916527,13.708296
"2023-08-13T12:49:02",1691923742,13.890959
"2023-08-13T14:49:18",1691930958,13.682808
"2023-08-13T16:49:33",1691938173,13.890961
"2023-08-13T16:42:36",1691937756,13.890959
"2023-08-13T18:42:36",1691944956,13.427928
"2023-08-13T20:42:52",1691952172,13.130568
"2023-08-13T22:42:52",1691959372,12.654792
"2023-08-14T00:42:52",1691966572,12.382919
"2023-08-14T02:43:08",1691973788,12.671785
"2023-08-14T04:43:23",1691981003,12.676033
"2023-08-14T06:43:39",1691988219,12.727007
"2023-08-14T08:43:54",1691995434,13.376951
"2023-08-14T10:43:54",1692002634,13.738031
"2023-08-14T12:43:54",1692009834,13.619087
"2023-08-14T14:43:54",1692017034,13.797503
"2023-08-14T16:43:54",1692024234,13.907951
"2023-08-14T18:43:54",1692031434,13.236768
"2023-08-14T20:43:54",1692038634,12.981888
"2023-08-14T22:43:54",1692045834,12.926663
"2023-08-15T00:43:54",1692053034,12.854448
"2023-08-15T02:43:54",1692060234,12.765240
"2023-08-15T04:44:10",1692067450,12.824712
"2023-08-15T06:44:25",1692074665,12.760992
"2023-08-15T08:44:41",1692081881,13.568112
"2023-08-15T10:44:56",1692089096,13.436422
"2023-08-15T12:45:12",1692096312,13.419432
"2023-08-15T14:45:27",1692103527,13.882464
"2023-08-15T16:45:43",1692110743,14.141592
"2023-08-15T18:45:58",1692117958,13.283496
"2023-08-15T20:46:14",1692125174,13.173048
"2023-08-15T22:46:30",1692132390,13.011624
"2023-08-16T00:46:45",1692139605,13.015872
"2023-08-16T02:47:01",1692146821,12.960648
"2023-08-16T04:47:16",1692154036,12.930913
"2023-08-16T06:47:32",1692161252,12.879936
"2023-08-16T08:47:47",1692168467,13.614840
"2023-08-16T10:48:03",1692175683,14.570639
"2023-08-16T12:48:19",1692182899,14.800032
"2023-08-16T14:48:34",1692190114,14.184072
"2023-08-16T16:48:50",1692197330,14.141592
"2023-08-16T18:49:05",1692204545,14.188319
"2023-08-16T20:49:05",1692211745,12.981888
"2023-08-16T22:49:05",1692218945,12.425400
"2023-08-17T00:49:20",1692226160,12.510359
"2023-08-17T00:48:54",1692226134,12.446640
"2023-08-17T02:49:09",1692233349,12.760992
"2023-08-17T04:49:25",1692240565,12.701519
"2023-08-17T06:49:41",1692247781,12.710015
"2023-08-17T08:49:56",1692254996,13.398191
"2023-08-17T10:49:56",1692262196,13.623337
"2023-08-17T12:49:56",1692269396,13.873968
"2023-08-17T14:50:21",1692276621,13.865473
"2023-08-17T16:50:37",1692283837,13.546872
"2023-08-17T18:50:52",1692291052,13.355713
"2023-08-17T20:51:08",1692298268,13.037111
"2023-08-17T22:51:23",1692305483,13.015871
"2023-08-18T00:51:39",1692312699,12.986135
"2023-08-18T02:51:54",1692319914,12.926663
"2023-08-18T04:52:10",1692327130,12.939407
"2023-08-18T06:52:26",1692334346,12.935161
"2023-08-18T08:52:41",1692341561,13.474655
"2023-08-18T10:52:57",1692348777,14.111856
"2023-08-18T12:53:12",1692355992,14.417712
"2023-08-18T14:53:28",1692363208,14.141592
"2023-08-18T16:53:43",1692370423,14.184072
"2023-08-18T18:53:59",1692377639,14.103360
"2023-08-18T20:54:14",1692384854,13.194287
"2023-08-18T22:54:30",1692392070,13.037111
"2023-08-19T00:54:46",1692399286,12.977640
"2023-08-19T02:55:01",1692406501,12.969144
"2023-08-19T04:55:17",1692413717,12.969144
"2023-08-19T06:55:32",1692420932,12.901176
"2023-08-19T08:55:48",1692428148,13.555368
"2023-08-19T10:56:04",1692435364,14.137344
"2023-08-19T12:56:19",1692442579,14.710825
"2023-08-19T14:56:35",1692449795,14.158585
"2023-08-19T16:56:50",1692457010,14.167081
"2023-08-19T18:57:06",1692464226,13.755023
"2023-08-19T20:57:21",1692471441,13.075343
"2023-08-19T22:57:37",1692478657,12.990384
"2023-08-20T00:57:53",1692485873,12.918167
"2023-08-20T02:58:08",1692493088,12.905424
"2023-08-20T04:58:24",1692500304,12.871440
"2023-08-20T06:58:39",1692507519,12.858696
"2023-08-20T08:58:55",1692514735,14.056633
"2023-08-20T10:59:11",1692521951,14.838263
"2023-08-20T12:59:26",1692529166,14.192568
"2023-08-20T14:59:42",1692536382,14.184072
"2023-08-20T16:59:57",1692543597,14.154337
"2023-08-20T19:00:13",1692550813,13.075343
"2023-08-20T21:00:28",1692558028,13.032863
"2023-08-20T23:00:44",1692565244,12.943655
"2023-08-21T01:00:59",1692572459,12.905424
"2023-08-21T03:01:15",1692579675,12.862944
"2023-08-21T05:01:31",1692586891,12.845952
"2023-08-21T07:01:46",1692594106,12.811969
"2023-08-21T09:02:02",1692601322,13.912199
"2023-08-21T11:02:17",1692608537,14.808528
"2023-08-21T13:02:33",1692615753,14.154337
"2023-08-21T15:02:48",1692622968,14.154337
"2023-08-21T17:03:04",1692630184,14.175577
"2023-08-21T19:03:20",1692637400,13.563864
"2023-08-21T21:03:35",1692644615,13.058352
"2023-08-21T23:03:51",1692651831,12.986135
"2023-08-22T01:04:06",1692659046,12.943655
"2023-08-22T03:04:22",1692666262,12.858696
"2023-08-22T05:04:38",1692673478,12.824712
"2023-08-22T07:04:53",1692680693,12.824712
"2023-08-22T09:05:09",1692687909,13.895207
"2023-08-22T11:05:24",1692695124,14.838263
"2023-08-22T13:05:40",1692702340,14.145841
"2023-08-22T15:05:40",1692709540,14.235048
"2023-08-22T17:05:56",1692716756,14.205312
"2023-08-22T19:06:11",1692723971,13.708296
"2023-08-22T21:06:27",1692731187,12.743999
"2023-08-22T21:04:59",1692731099,12.629303
"2023-08-22T23:05:14",1692738314,12.841703
"2023-08-23T01:05:30",1692745530,12.854448
"2023-08-23T03:05:45",1692752745,12.828959
"2023-08-23T05:06:01",1692759961,12.811969
"2023-08-23T07:06:17",1692767177,12.837456
"2023-08-23T09:06:32",1692774392,13.517136
"2023-08-23T11:06:48",1692781608,14.396471
"2023-08-23T13:07:03",1692788823,14.740561
"2023-08-23T15:07:19",1692796039,14.158585
"2023-08-23T17:07:34",1692803254,14.179825
"2023-08-23T19:07:50",1692810470,13.415184
"2023-08-23T21:08:06",1692817686,13.007376
"2023-08-23T23:08:21",1692824901,13.003128
"2023-08-24T01:08:37",1692832117,12.943655
"2023-08-24T03:08:52",1692839332,12.892680
"2023-08-24T05:09:08",1692846548,12.833208
"2023-08-24T07:09:24",1692853764,12.841703
"2023-08-24T09:09:39",1692860979,13.924944
"2023-08-24T11:09:55",1692868195,14.587631
"2023-08-24T13:10:10",1692875410,13.436424
"2023-08-24T15:10:26",1692882626,14.766047
"2023-08-24T17:10:41",1692889841,14.188319
"2023-08-24T19:10:57",1692897057,14.099112
"2023-08-24T21:11:12",1692904272,13.003128
"2023-08-24T23:11:28",1692911488,12.935160
"2023-08-25T01:11:44",1692918704,12.913920
"2023-08-25T03:11:59",1692925919,12.879936
"2023-08-25T05:12:15",1692933135,12.845952
"2023-08-25T07:12:30",1692940350,12.833208
"2023-08-25T09:12:46",1692947566,13.291992
"2023-08-25T11:13:02",1692954782,14.421959
"2023-08-25T13:13:17",1692961997,14.566391
"2023-08-25T15:13:33",1692969213,14.150088
"2023-08-25T17:13:49",1692976429,14.171329
"2023-08-25T19:13:49",1692983629,13.007376
"2023-08-25T21:13:49",1692990829,12.777985
"2023-08-25T23:13:49",1692998029,12.412656
"2023-08-26T01:14:04",1693005244,12.599568
"2023-08-26T03:14:20",1693012460,12.739752
"2023-08-26T05:14:35",1693019675,12.731256
"2023-08-26T07:14:51",1693026891,12.718512
"2023-08-26T09:15:06",1693034106,13.338719
"2023-08-26T11:15:22",1693041322,13.708296
"2023-08-26T13:15:37",1693048537,13.776263
"2023-08-26T15:15:53",1693055753,13.839984
"2023-08-26T17:16:09",1693062969,13.160304
"2023-08-26T19:16:24",1693070184,13.355711
"2023-08-26T21:16:40",1693077400,13.028615
"2023-08-26T23:16:55",1693084615,12.837456
"2023-08-27T01:17:11",1693091831,12.722759
"2023-08-27T03:17:27",1693099047,12.654791
"2023-08-27T05:17:42",1693106262,12.650545
"2023-08-27T07:17:58",1693113478,12.743999
"2023-08-27T09:18:13",1693120693,13.780512
"2023-08-27T11:18:29",1693127909,13.895207
"2023-08-27T13:18:44",1693135124,13.873968
"2023-08-27T15:18:44",1693142324,12.943655
"2023-08-27T17:19:00",1693149540,13.474655
"2023-08-27T19:19:15",1693156755,13.122072
"2023-08-27T21:19:31",1693163971,12.956400
"2023-08-27T23:19:46",1693171186,12.926663
"2023-08-28T01:20:02",1693178402,12.862944
"2023-08-28T03:20:18",1693185618,12.841703
"2023-08-28T05:20:33",1693192833,12.811969
"2023-08-28T07:20:49",1693200049,12.837456
"2023-08-28T09:21:04",1693207264,13.869720
"2023-08-28T11:21:20",1693214480,14.235048
"2023-08-28T13:21:36",1693221696,14.625864
"2023-08-28T15:21:51",1693228911,14.732065
"2023-08-28T17:22:07",1693236127,14.303015
"2023-08-28T19:22:22",1693243342,13.975920
"2023-08-28T21:22:38",1693250558,13.041359
"2023-08-28T23:22:53",1693257773,12.990384
"2023-08-29T01:23:09",1693264989,12.935160
"2023-08-29T03:23:25",1693272205,12.930913
"2023-08-29T05:23:40",1693279420,12.875689
"2023-08-29T07:23:56",1693286636,12.913920
"2023-08-29T09:24:11",1693293851,14.133097
"2023-08-29T11:24:27",1693301067,14.834017
"2023-08-29T13:24:42",1693308282,14.133097
"2023-08-29T15:24:58",1693315498,13.746527
"2023-08-29T17:25:14",1693322714,14.867999
"2023-08-29T19:25:29",1693329929,14.039640
"2023-08-29T21:25:45",1693337145,12.956400
"2023-08-29T23:26:00",1693344360,12.896929
"2023-08-30T01:26:16",1693351576,12.867192
"2023-08-30T03:26:32",1693358792,12.837456
"2023-08-30T05:26:47",1693366007,12.811969
"2023-08-30T07:27:03",1693373223,12.841703
"2023-08-30T09:27:18",1693380438,12.922417
"2023-08-30T11:27:34",1693387654,13.330225
"2023-08-30T13:27:49",1693394869,14.851007
"2023-08-30T15:28:05",1693402085,14.150088
"2023-08-30T17:28:21",1693409301,14.171328
"2023-08-30T19:28:36",1693416516,14.145841
"2023-08-30T21:28:52",1693423732,12.973392
"2023-08-30T23:29:07",1693430947,12.918167
"2023-08-31T01:29:23",1693438163,12.871440
"2023-08-31T03:29:39",1693445379,12.828959
"2023-08-31T05:29:54",1693452594,12.777984
"2023-08-31T07:30:10",1693459810,12.765240
"2023-08-31T09:30:25",1693467025,14.116104
"2023-08-31T11:30:41",1693474241,14.617368
"2023-08-31T13:30:56",1693481456,14.145841
"2023-08-31T15:31:12",1693488672,14.167079
"2023-08-31T17:31:28",1693495888,14.133097
"2023-08-31T19:31:43",1693503103,13.372704
"2023-08-31T21:31:59",1693510319,12.981888
"2023-08-31T23:32:14",1693517534,12.901176
