"t","ts","v"
"2021-08-28T15:07:25",1630156045,13.97
"2021-08-28T16:07:25",1630159645,14.01
"2021-08-28T17:07:40",1630163260,13.94
"2021-08-28T18:07:55",1630166875,13.97
"2021-08-28T19:08:11",1630170491,13.99
"2021-08-28T20:08:26",1630174106,13.71
"2021-08-28T21:08:42",1630177722,13.39
"2021-08-28T22:08:57",1630181337,13.25
"2021-08-28T23:09:13",1630184953,13.13
"2021-08-29T00:09:28",1630188568,13.05
"2021-08-29T01:09:44",1630192184,13.01
"2021-08-29T02:09:59",1630195799,13.01
"2021-08-29T03:10:15",1630199415,13.01
"2021-08-29T04:10:30",1630203030,12.99
"2021-08-29T05:10:46",1630206646,12.98
"2021-08-29T06:11:01",1630210261,12.97
"2021-08-29T07:11:16",1630213876,12.97
"2021-08-29T08:11:32",1630217492,13.33
"2021-08-29T09:11:47",1630221107,14.63
"2021-08-29T10:12:03",1630224723,14.63
"2021-08-29T11:12:18",1630228338,13.97
"2021-08-29T12:12:34",1630231954,13.97
"2021-08-29T13:12:49",1630235569,13.97
"2021-08-29T14:13:05",1630239185,13.98
"2021-08-29T15:13:20",1630242800,13.99
"2021-08-29T16:13:36",1630246416,13.97
"2021-08-29T17:13:51",1630250031,13.98
"2021-08-29T18:14:07",1630253647,13.99
"2021-08-29T19:14:22",1630257262,13.97
"2021-08-29T20:14:37",1630260877,13.61
"2021-08-29T21:14:53",1630264493,13.37
"2021-08-29T22:15:08",1630268108,13.23
"2021-08-29T23:15:24",1630271724,13.11
"2021-08-30T00:15:39",1630275339,13.04
"2021-08-30T01:15:55",1630278955,13.01
"2021-08-30T02:16:10",1630282570,12.98
"2021-08-30T03:16:26",1630286186,12.98
"2021-08-30T04:16:41",1630289801,12.96
"2021-08-30T05:16:57",1630293417,12.94
"2021-08-30T06:17:12",1630297032,12.95
"2021-08-30T07:17:28",1630300648,12.95
"2021-08-30T08:17:43",1630304263,13.31
"2021-08-30T09:17:58",1630307878,14.66
"2021-08-30T10:18:14",1630311494,14.66
"2021-08-30T11:18:29",1630315109,13.97
"2021-08-30T12:18:45",1630318725,13.97
"2021-08-30T13:19:00",1630322340,14.00
