t,ts,v
"2023-03-25T16:36:11",1679754971,12.806958
"2023-03-25T18:36:27",1679762187,12.806956
"2023-03-25T20:36:43",1679769403,12.403486
"2023-03-25T22:36:58",1679776618,11.939278
"2023-03-26T00:37:14",1679783834,11.778756
"2023-03-26T02:37:29",1679791049,12.603052
"2023-03-26T04:37:45",1679798265,12.607389
"2023-03-26T06:38:00",1679805480,12.533638
"2023-03-26T08:38:16",1679812696,12.550991
"2023-03-26T10:38:31",1679819911,12.859018
"2023-03-26T12:38:47",1679827127,14.277675
"2023-03-26T14:39:02",1679834342,13.553162
"2023-03-26T16:39:18",1679841558,13.622576
"2023-03-26T18:39:33",1679848773,13.479410
"2023-03-26T20:39:49",1679855989,12.941447
"2023-03-26T22:40:04",1679863204,12.863356
"2023-03-27T00:40:20",1679870420,12.793941
"2023-03-27T02:40:35",1679877635,12.776588
"2023-03-27T04:40:51",1679884851,12.746219
"2023-03-27T06:41:06",1679892066,12.685482
"2023-03-27T08:41:22",1679899282,12.898064
"2023-03-27T10:41:37",1679906497,13.678975
"2023-03-27T12:41:53",1679913713,13.492424
"2023-03-27T14:42:08",1679920928,13.635592
"2023-03-27T16:42:24",1679928144,13.622577
"2023-03-27T18:42:39",1679935359,13.470732
"2023-03-27T20:42:55",1679942575,12.750559
"2023-03-27T22:43:11",1679949791,12.724527
"2023-03-28T00:43:26",1679957006,12.659451
"2023-03-28T02:43:42",1679964222,12.650774
"2023-03-28T04:43:57",1679971437,12.624743
"2023-03-28T06:45:19",1679978719,12.559668
"2023-03-28T08:45:34",1679985934,13.678976
"2023-03-28T10:45:50",1679993150,13.917587
"2023-03-28T12:46:05",1680000365,13.531469
"2023-03-28T14:46:21",1680007581,13.540146
"2023-03-28T16:46:37",1680014797,13.544485
"2023-03-28T18:46:52",1680022012,13.110644
"2023-03-28T20:47:08",1680029228,12.780927
"2023-03-28T22:47:23",1680036443,12.676805
"2023-03-29T00:47:39",1680043659,12.607389
"2023-03-29T02:47:54",1680050874,12.537977
"2023-03-29T04:48:10",1680058090,12.498930
"2023-03-29T06:48:25",1680065305,12.472900
"2023-03-29T08:48:41",1680072521,12.681143
"2023-03-29T10:48:56",1680079736,14.221275
"2023-03-29T12:49:12",1680086952,13.548823
"2023-03-29T14:49:27",1680094167,13.609561
"2023-03-29T16:49:43",1680101383,13.609560
"2023-03-29T18:49:59",1680108599,12.932770
"2023-03-29T20:50:14",1680115814,12.403485
"2023-03-29T22:50:30",1680123030,12.429517
"2023-03-30T00:50:45",1680130245,12.624743
"2023-03-30T02:51:01",1680137461,12.659451
"2023-03-30T04:51:16",1680144676,11.965307
"2023-03-30T06:51:32",1680151892,12.247304
"2023-03-30T08:51:47",1680159107,13.002185
"2023-03-30T10:52:03",1680166323,14.481580
"2023-03-30T12:52:18",1680173538,13.019539
"2023-03-30T14:52:34",1680180754,13.744051
"2023-03-30T16:52:49",1680187969,13.804789
"2023-03-30T18:53:05",1680195185,13.826482
"2023-03-30T20:53:21",1680202401,12.555330
"2023-03-30T22:53:36",1680209616,12.776588
"2023-03-31T00:53:52",1680216832,12.637758
"2023-03-31T02:54:07",1680224047,12.164873
"2023-03-31T04:54:23",1680231263,12.663790
"2023-03-31T06:54:38",1680238478,12.585698
"2023-03-31T08:54:54",1680245694,12.754896
"2023-03-31T10:55:10",1680252910,14.507609
"2023-03-31T12:55:25",1680260125,13.722361
"2023-03-31T14:55:41",1680267341,13.861188
"2023-03-31T16:55:56",1680274556,13.544485
"2023-03-31T18:56:12",1680281772,13.401319
"2023-03-31T20:56:27",1680288987,12.741880
"2023-03-31T22:56:43",1680296203,12.056414
"2023-04-01T00:56:59",1680303419,12.216935
"2023-04-01T02:57:14",1680310634,12.585699
"2023-04-01T04:57:30",1680317850,12.407825
"2023-04-01T06:57:45",1680325065,12.138844
"2023-04-01T08:58:01",1680332281,12.919756
"2023-04-01T10:58:17",1680339497,14.234291
"2023-04-01T12:58:32",1680346712,14.464226
"2023-04-01T14:58:48",1680353928,13.609561
"2023-04-01T16:59:03",1680361143,13.848172
"2023-04-01T18:59:19",1680368359,12.793942
"2023-04-01T20:59:34",1680375574,12.199580
"2023-04-01T22:59:50",1680382790,12.425179
"2023-04-02T01:00:06",1680390006,12.537976
"2023-04-02T03:00:21",1680397221,12.485916
"2023-04-02T05:00:37",1680404437,12.507607
"2023-04-02T07:00:53",1680411653,12.511946
"2023-04-02T09:01:08",1680418868,13.002185
"2023-04-02T11:01:24",1680426084,14.511948
"2023-04-02T13:01:39",1680433299,13.852511
"2023-04-02T15:01:55",1680440515,13.869865
"2023-04-02T14:34:38",1680438878,14.004356
"2023-04-02T16:34:52",1680446092,13.939280
"2023-04-02T18:35:08",1680453308,13.540146
"2023-04-02T20:35:23",1680460523,12.785265
"2023-04-02T22:35:39",1680467739,12.724527
"2023-04-03T00:35:55",1680474955,12.659452
